============================================================================
ERA5 ZARR INTEGRITY CHECK
============================================================================
root   : /home/tahiti/ConserveFM/data/ERA5_WeatherBench2_1979_2022
repair : True
[INFO] geopotential                   shape=(93544, 13, 240, 121) chunks=(8, 13, 240, 121)
[INFO] temperature                    shape=(93544, 13, 240, 121) chunks=(8, 13, 240, 121)
[INFO] specific_humidity              shape=(93544, 13, 240, 121) chunks=(8, 13, 240, 121)
[INFO] u_component_of_wind            shape=(93544, 13, 240, 121) chunks=(8, 13, 240, 121)
[INFO] v_component_of_wind            shape=(93544, 13, 240, 121) chunks=(8, 13, 240, 121)
[INFO] 2m_temperature                 shape=(93544, 240, 121) chunks=(8, 240, 121)
[INFO] 10m_u_component_of_wind        shape=(93544, 240, 121) chunks=(8, 240, 121)
[INFO] 10m_v_component_of_wind        shape=(93544, 240, 121) chunks=(8, 240, 121)
[INFO] mean_sea_level_pressure        shape=(93544, 240, 121) chunks=(8, 240, 121)
[INFO] surface_pressure               shape=(93544, 240, 121) chunks=(8, 240, 121)
[INFO] total_precipitation_6hr        shape=(93544, 240, 121) chunks=(8, 240, 121)
[INFO] total time chunks = 128,623

[VARIABLE] geopotential chunks=11,693
[PROGRESS] 250/128,623 0.19% bad=0 repaired=0 failed=0 speed=1613.6 chunks/s ETA=1.3 min
[PROGRESS] 500/128,623 0.39% bad=0 repaired=0 failed=0 speed=1687.0 chunks/s ETA=1.3 min
[PROGRESS] 750/128,623 0.58% bad=0 repaired=0 failed=0 speed=1709.2 chunks/s ETA=1.2 min
[PROGRESS] 104,250/128,623 81.05% bad=9 repaired=9 failed=0 speed=235.2 chunks/s ETA=1.7 min
[PROGRESS] 104,500/128,623 81.25% bad=9 repaired=9 failed=0 speed=235.6 chunks/s ETA=1.7 min
[PROGRESS] 104,750/128,623 81.44% bad=9 repaired=9 failed=0 speed=235.9 chunks/s ETA=1.7 min
[PROGRESS] 105,000/128,623 81.63% bad=9 repaired=9 failed=0 speed=236.3 chunks/s ETA=1.7 min

[VARIABLE] surface_pressure chunks=11,693
[PROGRESS] 105,250/128,623 81.83% bad=9 repaired=9 failed=0 speed=236.7 chunks/s ETA=1.6 min
[PROGRESS] 105,500/128,623 82.02% bad=9 repaired=9 failed=0 speed=237.3 chunks/s ETA=1.6 min
[PROGRESS] 105,750/128,623 82.22% bad=9 repaired=9 failed=0 speed=237.8 chunks/s ETA=1.6 min
[PROGRESS] 106,000/128,623 82.41% bad=9 repaired=9 failed=0 speed=238.4 chunks/s ETA=1.6 min
[PROGRESS] 106,250/128,623 82.61% bad=9 repaired=9 failed=0 speed=238.9 chunks/s ETA=1.6 min
[PROGRESS] 106,500/128,623 82.80% bad=9 repaired=9 failed=0 speed=239.5 chunks/s ETA=1.5 min
[PROGRESS] 106,750/128,623 82.99% bad=9 repaired=9 failed=0 speed=240.0 chunks/s ETA=1.5 min
[PROGRESS] 107,000/128,623 83.19% bad=9 repaired=9 failed=0 speed=240.6 chunks/s ETA=1.5 min
[PROGRESS] 107,250/128,623 83.38% bad=9 repaired=9 failed=0 speed=241.1 chunks/s ETA=1.5 min
[PROGRESS] 107,500/128,623 83.58% bad=9 repaired=9 failed=0 speed=241.7 chunks/s ETA=1.5 min
[PROGRESS] 107,750/128,623 83.77% bad=9 repaired=9 failed=0 speed=242.2 chunks/s ETA=1.4 min
[PROGRESS] 108,000/128,623 83.97% bad=9 repaired=9 failed=0 speed=242.8 chunks/s ETA=1.4 min
[PROGRESS] 108,250/128,623 84.16% bad=9 repaired=9 failed=0 speed=243.3 chunks/s ETA=1.4 min
[PROGRESS] 108,500/128,623 84.36% bad=9 repaired=9 failed=0 speed=243.9 chunks/s ETA=1.4 min
[PROGRESS] 108,750/128,623 84.55% bad=9 repaired=9 failed=0 speed=244.4 chunks/s ETA=1.4 min
[PROGRESS] 109,000/128,623 84.74% bad=9 repaired=9 failed=0 speed=244.9 chunks/s ETA=1.3 min
[PROGRESS] 109,250/128,623 84.94% bad=9 repaired=9 failed=0 speed=245.3 chunks/s ETA=1.3 min
[PROGRESS] 109,500/128,623 85.13% bad=9 repaired=9 failed=0 speed=245.6 chunks/s ETA=1.3 min
[PROGRESS] 109,750/128,623 85.33% bad=9 repaired=9 failed=0 speed=246.0 chunks/s ETA=1.3 min
[PROGRESS] 110,000/128,623 85.52% bad=9 repaired=9 failed=0 speed=246.4 chunks/s ETA=1.3 min
[PROGRESS] 110,250/128,623 85.72% bad=9 repaired=9 failed=0 speed=246.8 chunks/s ETA=1.2 min
[PROGRESS] 110,500/128,623 85.91% bad=9 repaired=9 failed=0 speed=247.2 chunks/s ETA=1.2 min
[PROGRESS] 110,750/128,623 86.10% bad=9 repaired=9 failed=0 speed=247.5 chunks/s ETA=1.2 min
[PROGRESS] 111,000/128,623 86.30% bad=9 repaired=9 failed=0 speed=247.9 chunks/s ETA=1.2 min
[PROGRESS] 111,250/128,623 86.49% bad=9 repaired=9 failed=0 speed=248.3 chunks/s ETA=1.2 min
[PROGRESS] 111,500/128,623 86.69% bad=9 repaired=9 failed=0 speed=248.7 chunks/s ETA=1.1 min
[PROGRESS] 111,750/128,623 86.88% bad=9 repaired=9 failed=0 speed=248.9 chunks/s ETA=1.1 min
[PROGRESS] 112,000/128,623 87.08% bad=9 repaired=9 failed=0 speed=249.2 chunks/s ETA=1.1 min
[PROGRESS] 112,250/128,623 87.27% bad=9 repaired=9 failed=0 speed=249.6 chunks/s ETA=1.1 min
[PROGRESS] 112,500/128,623 87.46% bad=9 repaired=9 failed=0 speed=249.9 chunks/s ETA=1.1 min
[PROGRESS] 112,750/128,623 87.66% bad=9 repaired=9 failed=0 speed=250.3 chunks/s ETA=1.1 min
[PROGRESS] 113,000/128,623 87.85% bad=9 repaired=9 failed=0 speed=250.7 chunks/s ETA=1.0 min
[PROGRESS] 113,250/128,623 88.05% bad=9 repaired=9 failed=0 speed=251.1 chunks/s ETA=1.0 min
[PROGRESS] 113,500/128,623 88.24% bad=9 repaired=9 failed=0 speed=251.5 chunks/s ETA=1.0 min
[PROGRESS] 113,750/128,623 88.44% bad=9 repaired=9 failed=0 speed=251.8 chunks/s ETA=1.0 min
[PROGRESS] 114,000/128,623 88.63% bad=9 repaired=9 failed=0 speed=252.2 chunks/s ETA=1.0 min
[PROGRESS] 114,250/128,623 88.83% bad=9 repaired=9 failed=0 speed=252.6 chunks/s ETA=0.9 min
[PROGRESS] 114,500/128,623 89.02% bad=9 repaired=9 failed=0 speed=252.9 chunks/s ETA=0.9 min
[PROGRESS] 114,750/128,623 89.21% bad=9 repaired=9 failed=0 speed=253.3 chunks/s ETA=0.9 min
[PROGRESS] 115,000/128,623 89.41% bad=9 repaired=9 failed=0 speed=253.7 chunks/s ETA=0.9 min
[PROGRESS] 115,250/128,623 89.60% bad=9 repaired=9 failed=0 speed=254.1 chunks/s ETA=0.9 min
[PROGRESS] 115,500/128,623 89.80% bad=9 repaired=9 failed=0 speed=254.4 chunks/s ETA=0.9 min
[PROGRESS] 115,750/128,623 89.99% bad=9 repaired=9 failed=0 speed=254.8 chunks/s ETA=0.8 min
[PROGRESS] 116,000/128,623 90.19% bad=9 repaired=9 failed=0 speed=255.1 chunks/s ETA=0.8 min
[PROGRESS] 116,250/128,623 90.38% bad=9 repaired=9 failed=0 speed=255.5 chunks/s ETA=0.8 min
[PROGRESS] 116,500/128,623 90.57% bad=9 repaired=9 failed=0 speed=255.9 chunks/s ETA=0.8 min
[PROGRESS] 116,750/128,623 90.77% bad=9 repaired=9 failed=0 speed=256.2 chunks/s ETA=0.8 min

[VARIABLE] total_precipitation_6hr chunks=11,693
[PROGRESS] 117,000/128,623 90.96% bad=9 repaired=9 failed=0 speed=256.6 chunks/s ETA=0.8 min
[PROGRESS] 117,250/128,623 91.16% bad=9 repaired=9 failed=0 speed=257.1 chunks/s ETA=0.7 min
[PROGRESS] 117,500/128,623 91.35% bad=9 repaired=9 failed=0 speed=257.6 chunks/s ETA=0.7 min
[PROGRESS] 117,750/128,623 91.55% bad=9 repaired=9 failed=0 speed=258.2 chunks/s ETA=0.7 min
[PROGRESS] 118,000/128,623 91.74% bad=9 repaired=9 failed=0 speed=258.7 chunks/s ETA=0.7 min
[PROGRESS] 118,250/128,623 91.94% bad=9 repaired=9 failed=0 speed=259.2 chunks/s ETA=0.7 min
[PROGRESS] 118,500/128,623 92.13% bad=9 repaired=9 failed=0 speed=259.8 chunks/s ETA=0.6 min
[PROGRESS] 118,750/128,623 92.32% bad=9 repaired=9 failed=0 speed=260.3 chunks/s ETA=0.6 min
[PROGRESS] 119,000/128,623 92.52% bad=9 repaired=9 failed=0 speed=260.8 chunks/s ETA=0.6 min
[PROGRESS] 119,250/128,623 92.71% bad=9 repaired=9 failed=0 speed=261.4 chunks/s ETA=0.6 min
[PROGRESS] 119,500/128,623 92.91% bad=9 repaired=9 failed=0 speed=261.9 chunks/s ETA=0.6 min
[PROGRESS] 119,750/128,623 93.10% bad=9 repaired=9 failed=0 speed=262.5 chunks/s ETA=0.6 min
[PROGRESS] 120,000/128,623 93.30% bad=9 repaired=9 failed=0 speed=263.0 chunks/s ETA=0.5 min
[PROGRESS] 120,250/128,623 93.49% bad=9 repaired=9 failed=0 speed=263.5 chunks/s ETA=0.5 min
[PROGRESS] 120,500/128,623 93.68% bad=9 repaired=9 failed=0 speed=264.1 chunks/s ETA=0.5 min
[PROGRESS] 120,750/128,623 93.88% bad=9 repaired=9 failed=0 speed=264.4 chunks/s ETA=0.5 min
[PROGRESS] 121,000/128,623 94.07% bad=9 repaired=9 failed=0 speed=264.8 chunks/s ETA=0.5 min
[PROGRESS] 121,250/128,623 94.27% bad=9 repaired=9 failed=0 speed=265.0 chunks/s ETA=0.5 min
[PROGRESS] 121,500/128,623 94.46% bad=9 repaired=9 failed=0 speed=265.3 chunks/s ETA=0.4 min
[PROGRESS] 121,750/128,623 94.66% bad=9 repaired=9 failed=0 speed=265.6 chunks/s ETA=0.4 min
[PROGRESS] 122,000/128,623 94.85% bad=9 repaired=9 failed=0 speed=265.9 chunks/s ETA=0.4 min
[PROGRESS] 122,250/128,623 95.05% bad=9 repaired=9 failed=0 speed=266.3 chunks/s ETA=0.4 min
[PROGRESS] 122,500/128,623 95.24% bad=9 repaired=9 failed=0 speed=266.6 chunks/s ETA=0.4 min
[PROGRESS] 122,750/128,623 95.43% bad=9 repaired=9 failed=0 speed=266.9 chunks/s ETA=0.4 min
[PROGRESS] 123,000/128,623 95.63% bad=9 repaired=9 failed=0 speed=267.2 chunks/s ETA=0.4 min
[PROGRESS] 123,250/128,623 95.82% bad=9 repaired=9 failed=0 speed=267.5 chunks/s ETA=0.3 min
[PROGRESS] 123,500/128,623 96.02% bad=9 repaired=9 failed=0 speed=267.8 chunks/s ETA=0.3 min
[PROGRESS] 123,750/128,623 96.21% bad=9 repaired=9 failed=0 speed=268.1 chunks/s ETA=0.3 min
[PROGRESS] 124,000/128,623 96.41% bad=9 repaired=9 failed=0 speed=268.5 chunks/s ETA=0.3 min
[PROGRESS] 124,250/128,623 96.60% bad=9 repaired=9 failed=0 speed=268.8 chunks/s ETA=0.3 min
[PROGRESS] 124,500/128,623 96.79% bad=9 repaired=9 failed=0 speed=269.1 chunks/s ETA=0.3 min
[PROGRESS] 124,750/128,623 96.99% bad=9 repaired=9 failed=0 speed=269.4 chunks/s ETA=0.2 min
[PROGRESS] 125,000/128,623 97.18% bad=9 repaired=9 failed=0 speed=269.7 chunks/s ETA=0.2 min
[PROGRESS] 125,250/128,623 97.38% bad=9 repaired=9 failed=0 speed=270.0 chunks/s ETA=0.2 min
[PROGRESS] 125,500/128,623 97.57% bad=9 repaired=9 failed=0 speed=270.4 chunks/s ETA=0.2 min
[PROGRESS] 125,750/128,623 97.77% bad=9 repaired=9 failed=0 speed=270.7 chunks/s ETA=0.2 min
[PROGRESS] 126,000/128,623 97.96% bad=9 repaired=9 failed=0 speed=271.0 chunks/s ETA=0.2 min
[PROGRESS] 126,250/128,623 98.16% bad=9 repaired=9 failed=0 speed=271.3 chunks/s ETA=0.1 min
[PROGRESS] 126,500/128,623 98.35% bad=9 repaired=9 failed=0 speed=271.6 chunks/s ETA=0.1 min
[PROGRESS] 126,750/128,623 98.54% bad=9 repaired=9 failed=0 speed=271.9 chunks/s ETA=0.1 min
[PROGRESS] 127,000/128,623 98.74% bad=9 repaired=9 failed=0 speed=272.2 chunks/s ETA=0.1 min
[PROGRESS] 127,250/128,623 98.93% bad=9 repaired=9 failed=0 speed=272.6 chunks/s ETA=0.1 min
[PROGRESS] 127,500/128,623 99.13% bad=9 repaired=9 failed=0 speed=272.9 chunks/s ETA=0.1 min
[PROGRESS] 127,750/128,623 99.32% bad=9 repaired=9 failed=0 speed=273.2 chunks/s ETA=0.1 min
[PROGRESS] 128,000/128,623 99.52% bad=9 repaired=9 failed=0 speed=273.5 chunks/s ETA=0.0 min
[PROGRESS] 128,250/128,623 99.71% bad=9 repaired=9 failed=0 speed=273.8 chunks/s ETA=0.0 min
[PROGRESS] 128,500/128,623 99.90% bad=9 repaired=9 failed=0 speed=274.1 chunks/s ETA=0.0 min

============================================================================
INTEGRITY RESULT
============================================================================
checked  : 128,623
bad      : 9
repaired : 9
failed   : 0
elapsed  : 7.8 min
STATUS   : OK
